Number-of-splits,Total-length,Segment-length,RMSE,Max-Point-Error,Model-type,Tile-ID,Lane-Group-ID,Lane-ID,Lane-Sub-Segment-ID
3.0,401.2604247188802,131.51825301954216,0.03124065381166183,0.0939640133949508,2.0,3.08805389E8,1.453363281E9,2.0,1.0
3.0,401.2604247188802,135.2099501220696,0.010289899219850938,0.06890253640581824,0.0,3.08805389E8,1.453363281E9,2.0,2.0
3.0,401.2604247188802,132.55749328343012,0.012909633157753796,0.030782897792960284,1.0,3.08805389E8,1.453363281E9,2.0,3.0
1.0,207.62076860746333,207.62076860746333,0.02711656816888412,0.0679219275698415,1.0,3.08805389E8,6.0852694516E10,2.0,1.0
1.0,207.65129157598597,207.65129157598597,2.36673160379862E-15,6.862657490558184E-15,0.0,3.08805389E8,6.0852694516E10,3.0,1.0
1.0,207.7143385018583,207.7143385018583,3.893966519753981E-15,1.3726467391105832E-14,0.0,3.08805389E8,6.0852694516E10,4.0,1.0
1.0,207.78172693859278,207.78172693859278,3.945665192734073E-15,1.3726276862565953E-14,0.0,3.08805389E8,6.0852694516E10,5.0,1.0
1.0,16.007729999650397,16.007729999650397,9.340650477610733E-17,2.1982227256147798E-16,0.0,3.08804238E8,2.050690112E9,1.0,1.0
1.0,16.015451329242882,16.015451329242882,0.0,0.0,0.0,3.08804238E8,2.050690112E9,2.0,1.0
1.0,16.03079590700171,16.03079590700171,1.0681754571473493E-16,2.1982869550166757E-16,0.0,3.08804238E8,2.050690112E9,3.0,1.0
1.0,543.2543991760765,543.2543991760765,9.516379435358444E-15,2.8128095247805348E-14,0.0,3.08804238E8,6.0855192704E10,2.0,1.0
1.0,543.2645657864255,543.2645657864255,4.704469695441409E-15,1.4063982945524001E-14,0.0,3.08804238E8,6.0855192704E10,3.0,1.0
1.0,543.2644555468605,543.2644555468605,7.781198687864082E-15,2.8127965767970287E-14,0.0,3.08804238E8,6.0855192704E10,4.0,1.0
1.0,547.6722414819643,547.6722414819643,0.017800491021615135,0.052372490585682024,0.0,3.08804238E8,6.0845192087E10,2.0,1.0
1.0,547.669471208628,547.669471208628,0.010667678842723056,0.03138637631305612,0.0,3.08804238E8,6.0845192087E10,3.0,1.0
1.0,547.6634634535308,547.6634634535308,0.021502962390610173,0.06326587811532867,0.0,3.08804238E8,6.0845192087E10,4.0,1.0
1.0,547.5502667841565,547.5502667841565,0.007586945980711178,0.027536738843086855,0.0,3.08804238E8,6.0865191282E10,2.0,1.0
1.0,547.5333087765896,547.5333087765896,0.011551536226176414,0.03713909393374304,0.0,3.08804238E8,6.0865191282E10,3.0,1.0
1.0,547.5277861505051,547.5277861505051,0.014247699058074697,0.04924246559700386,0.0,3.08804238E8,6.0865191282E10,4.0,1.0
1.0,20.29900425846537,20.29900425846537,1.867250571113623E-16,4.394135526431408E-16,0.0,3.08804238E8,3.10602127E8,2.0,1.0
1.0,20.314433367281794,20.314433367281794,5.182188926495264E-16,8.788413801229572E-16,0.0,3.08804238E8,3.10602127E8,3.0,1.0
1.0,20.328518388585135,20.328518388585135,1.5886339599115665E-16,4.394568698780039E-16,0.0,3.08804238E8,3.10602127E8,4.0,1.0
4.0,2185.184993948455,541.1857694940577,0.03193932243276955,0.09777756983577368,0.0,3.08804238E8,1.805877424E9,1.0,1.0
4.0,2185.184993948455,547.3772846805807,0.04225518951958782,0.0987958051264286,1.0,3.08804238E8,1.805877424E9,1.0,2.0
4.0,2185.184993948455,545.6821367804403,0.028657078232071653,0.07935244293184951,1.0,3.08804238E8,1.805877424E9,1.0,3.0
